opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,target_won,sector,company_age,revenue,employees,is_subsidiary,is_domestic,manager,regional_office
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,0,technolgy,35,1008.06,1238,0,1,Melvin Marxen,Central
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,1,telecommunications,19,1699.85,5108,0,1,Summer Sewald,West
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,1,finance,12,1102.43,1759,0,1,Melvin Marxen,Central
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,1,employment,30,2059.9,3644,0,1,Summer Sewald,West
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,1,medical,26,3922.42,6837,0,1,Melvin Marxen,Central
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,1,finance,31,1698.2,3798,0,1,Dustin Brinkmann,Central
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,0,finance,27,2819.5,7227,1,1,Melvin Marxen,Central
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,1,telecommunications,11,86.68,187,1,1,Melvin Marxen,Central
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,1,finance,24,355.23,853,0,1,Rocco Neubert,East
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,1,medical,24,2818.38,6290,0,1,Rocco Neubert,East
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,1,entertainment,26,324.19,978,0,1,Celia Rouche,West
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,1,marketing,18,2952.73,5107,0,1,Summer Sewald,West
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,0,retail,17,718.62,2448,0,1,Dustin Brinkmann,Central
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,1,technolgy,31,2938.67,8775,0,0,Dustin Brinkmann,Central
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,1,marketing,23,2173.98,2928,1,1,Melvin Marxen,Central
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,1,software,36,11698.03,34288,0,1,Rocco Neubert,East
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,0,services,31,405.59,1179,1,0,Celia Rouche,West
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,1,employment,35,2871.35,9561,0,1,Summer Sewald,West
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,1,medical,26,3922.42,6837,0,1,Dustin Brinkmann,Central
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,1,technolgy,13,1520.66,1806,0,1,Melvin Marxen,Central
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,0,marketing,10,894.37,1593,0,0,Summer Sewald,West
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,1,medical,27,326.82,1016,0,1,Cara Losch,East
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,1,telecommunications,11,86.68,187,1,1,Melvin Marxen,Central
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,1,entertainment,16,349.81,315,0,1,Summer Sewald,West
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,1,retail,23,332.43,799,0,1,Melvin Marxen,Central
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,0,finance,25,646.1,883,1,1,Cara Losch,East
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,1,software,20,2714.9,2641,1,1,Dustin Brinkmann,Central
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,1,software,5,98.79,96,1,1,Celia Rouche,West
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,1,employment,21,882.12,2769,0,1,Cara Losch,East
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,0,retail,14,702.72,1831,0,1,Rocco Neubert,East
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,1,software,20,2714.9,2641,1,1,Melvin Marxen,Central
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,1,finance,12,1102.43,1759,0,1,Melvin Marxen,Central
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,1,employment,35,2871.35,9561,0,1,Celia Rouche,West
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,1,employment,21,291.27,586,0,1,Dustin Brinkmann,Central
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,1,finance,20,2022.14,5113,0,1,Rocco Neubert,East
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,1,telecommunications,23,1825.82,5595,1,1,Summer Sewald,West
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,0,software,20,2714.9,2641,1,1,Melvin Marxen,Central
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,1,software,36,4618.0,10083,0,1,Dustin Brinkmann,Central
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,1,technolgy,38,7708.38,13756,0,1,Celia Rouche,West
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,1,telecommunications,30,5266.09,8595,1,1,Dustin Brinkmann,Central
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,1,telecommunications,30,5266.09,8595,1,1,Dustin Brinkmann,Central
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,1,medical,19,251.41,495,0,1,Cara Losch,East
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,1,medical,19,251.41,495,0,1,Cara Losch,East
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,1,entertainment,20,217.87,551,0,1,Melvin Marxen,Central
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,1,technolgy,26,1712.68,3194,1,1,Cara Losch,East
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,0,entertainment,20,217.87,551,0,1,Dustin Brinkmann,Central
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,1,finance,12,1102.43,1759,0,1,Melvin Marxen,Central
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,1,technolgy,18,1223.72,2497,0,0,Melvin Marxen,Central
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,1,retail,15,1419.98,4018,0,1,Rocco Neubert,East
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,1,technolgy,38,7708.38,13756,0,1,Cara Losch,East
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,1,medical,1,4.54,9,0,1,Summer Sewald,West
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,1,technolgy,38,7708.38,13756,0,1,Celia Rouche,West
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,1,entertainment,29,665.06,1095,0,1,Cara Losch,East
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,1,technolgy,8,587.72,1501,0,1,Summer Sewald,West
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,1,services,36,792.46,1299,0,1,Summer Sewald,West
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,1,retail,11,894.33,1635,0,0,Melvin Marxen,Central
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,1,software,22,6354.87,16780,1,1,Summer Sewald,West
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,1,services,36,792.46,1299,0,1,Summer Sewald,West
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,1,finance,31,1698.2,3798,0,1,Dustin Brinkmann,Central
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,1,marketing,6,45.39,100,1,1,Melvin Marxen,Central
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,0,medical,26,3922.42,6837,0,1,Dustin Brinkmann,Central
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,1,finance,27,2819.5,7227,1,1,Dustin Brinkmann,Central
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,1,retail,15,1419.98,4018,0,1,Cara Losch,East
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,1,software,39,4478.47,13809,0,1,Rocco Neubert,East
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,1,retail,28,2520.83,3502,0,1,Cara Losch,East
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0,0,marketing,23,2173.98,2928,1,1,Dustin Brinkmann,Central
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,1,telecommunications,24,6395.05,20275,0,1,Rocco Neubert,East
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,1,retail,28,2520.83,3502,0,1,Cara Losch,East
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,1,technolgy,38,7708.38,13756,0,1,Cara Losch,East
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0,1,software,36,4618.0,10083,0,1,Melvin Marxen,Central
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0,0,finance,12,1102.43,1759,0,1,Dustin Brinkmann,Central
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,1,retail,17,718.62,2448,0,1,Melvin Marxen,Central
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,1,employment,35,2871.35,9561,0,1,Celia Rouche,West
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,1,medical,26,3922.42,6837,0,1,Melvin Marxen,Central
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,1,finance,10,52.5,165,0,1,Celia Rouche,West
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,1,telecommunications,19,1699.85,5108,0,1,Celia Rouche,West
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,1,services,31,405.59,1179,1,0,Celia Rouche,West
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0,1,employment,21,291.27,586,0,1,Melvin Marxen,Central
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,1,entertainment,25,4269.9,6472,1,1,Summer Sewald,West
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,1,telecommunications,30,5266.09,8595,1,1,Dustin Brinkmann,Central
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0,1,finance,27,2819.5,7227,1,1,Dustin Brinkmann,Central
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0,1,entertainment,16,349.81,315,0,1,Celia Rouche,West
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0,0,software,36,4618.0,10083,0,1,Melvin Marxen,Central
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0.0,0,finance,27,2819.5,7227,1,1,Melvin Marxen,Central
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,1,technolgy,18,1223.72,2497,0,0,Melvin Marxen,Central
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829.0,1,technolgy,31,2938.67,8775,0,0,Melvin Marxen,Central
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,0,software,36,4618.0,10083,0,1,Dustin Brinkmann,Central
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0,1,technolgy,26,1712.68,3194,1,1,Rocco Neubert,East
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,0,finance,25,7537.24,20293,0,1,Celia Rouche,West
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0,1,telecommunications,24,6395.05,20275,0,1,Cara Losch,East
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0.0,0,medical,1,4.54,9,0,1,Melvin Marxen,Central
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,1,medical,26,3922.42,6837,0,1,Melvin Marxen,Central
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0,1,retail,17,718.62,2448,0,1,Melvin Marxen,Central
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673.0,1,technolgy,8,587.72,1501,0,1,Summer Sewald,West
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0,1,finance,25,7537.24,20293,0,1,Summer Sewald,West
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0,1,technolgy,31,2938.67,8775,0,0,Melvin Marxen,Central
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0,1,retail,22,2214.94,5374,0,1,Summer Sewald,West
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,1,technolgy,26,1712.68,3194,1,1,Rocco Neubert,East
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,1,employment,21,882.12,2769,0,1,Rocco Neubert,East
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0,1,retail,13,2261.05,3851,0,1,Rocco Neubert,East
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,1,medical,14,1618.89,3889,0,1,Summer Sewald,West
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0,1,software,20,2714.9,2641,1,1,Dustin Brinkmann,Central
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0,1,entertainment,16,349.81,315,0,1,Celia Rouche,West
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0,1,medical,33,2741.37,9226,0,1,Summer Sewald,West
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,1,retail,28,2520.83,3502,0,1,Rocco Neubert,East
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0,0,retail,15,1419.98,4018,0,1,Rocco Neubert,East
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0,1,finance,20,2022.14,5113,0,1,Rocco Neubert,East
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0,1,marketing,23,2173.98,2928,1,1,Melvin Marxen,Central
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0,1,retail,29,1388.67,3583,0,1,Celia Rouche,West
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0,1,technolgy,31,2938.67,8775,0,0,Melvin Marxen,Central
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0,1,employment,30,2059.9,3644,0,1,Summer Sewald,West
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0,1,medical,16,3178.24,4540,0,1,Dustin Brinkmann,Central
UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059.0,1,retail,15,1419.98,4018,0,1,Rocco Neubert,East
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0,1,retail,22,2214.94,5374,0,1,Summer Sewald,West
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0,1,entertainment,26,324.19,978,0,1,Celia Rouche,West
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0,1,retail,8,71.12,144,0,1,Rocco Neubert,East
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0,1,software,22,6354.87,16780,1,1,Celia Rouche,West
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0.0,0,medical,32,647.18,1185,0,0,Dustin Brinkmann,Central
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,1,software,16,987.39,2253,0,1,Rocco Neubert,East
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,1,marketing,34,3027.46,9516,0,0,Cara Losch,East
9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0,1,finance,25,646.1,883,1,1,Rocco Neubert,East
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,1,employment,21,882.12,2769,0,1,Rocco Neubert,East
